"x" "y" "S1" "S2" "S3" "S4" "S5"
225 144 -92 -78 -49 -92 -92
0 144 -75 -92 -87 -47 -92
111 132 -92 -92 -80 -70 -65
110.7 132 -87 -92 -67 -67 -62
105 132 -92 -92 -79 -66 -61
99 132 -92 -92 -79 -70 -61
201 132 -92 -74 -42 -77 -85
93 132 -92 -92 -76 -66 -68
87 132 -92 -92 -80 -68 -71
81 132 -85 -92 -82 -64 -73
75 132 -85 -92 -82 -64 -73
72.3 132 -85 -92 -80 -64 -73
69 132 -88 -92 -77 -60 -80
63 132 -85 -92 -83 -60 -78
57 132 -83 -92 -82 -58 -83
51 132 -78 -92 -83 -55 -86
46.7 132 -79 -92 -78 -53 -80
45 132 -76 -92 -79 -56 -87
39 132 -80 -92 -76 -51 -88
195 132 -92 -79 -50 -77 -85
33 132 -75 -92 -79 -50 -92
27 132 -74 -92 -78 -40 -92
21 132 -74 -92 -86 -42 -92
189 132 -92 -85 -49 -82 -85
183 132 -92 -85 -51 -82 -83
178 132 -92 -82 -55 -83 -83
177 132 -92 -82 -57 -83 -83
171 132 -92 -86 -64 -79 -81
165 132 -92 -92 -65 -78 -79
159 132 -92 -85 -62 -79 -81
153 132 -92 -92 -69 -77 -76
147 132 -92 -92 -73 -76 -76
141 132 -92 -92 -69 -72 -72
135 132 -92 -92 -73 -74 -67
129 132 -92 -92 -79 -78 -65
123 132 -92 -92 -81 -69 -70
117 132 -92 -92 -80 -69 -69
206 32 -92 -35 -71 -92 -77
110.7 30 -80 -79 -88 -89 -59
171.4 30 -89 -56 -78 -92 -70
213 28 -92 -43 -70 -92 -75
12 28 -48 -92 -92 -64 -92
110.7 24 -83 -78 -88 -92 -60
171.4 24 -86 -58 -88 -92 -67
213 22 -92 -46 -68 -92 -79
12 22 -48 -86 -92 -65 -92
110.7 18 -80 -76 -92 -87 -62
171.4 18 -83 -51 -84 -92 -66
213 16 -92 -43 -71 -92 -77
111 16 -72 -72 -92 -90 -64
105 16 -74 -75 -92 -92 -63
99 16 -78 -75 -92 -92 -67
201 16 -83 -41 -75 -89 -76
93 16 -74 -76 -92 -92 -71
87 16 -74 -78 -92 -86 -73
81 16 -73 -76 -92 -89 -73
77 16 -75 -78 -92 -92 -71
75 16 -64 -78 -92 -90 -73
69 16 -67 -76 -92 -87 -77
63 16 -68 -78 -92 -87 -82
57 16 -63 -80 -92 -87 -81
51 16 -62 -82 -92 -87 -80
45 16 -59 -78 -92 -81 -85
39 16 -55 -79 -92 -82 -86
195 16 -84 -44 -79 -92 -75
33 16 -52 -83 -92 -79 -92
27 16 -51 -85 -92 -80 -86
21.5 16 -57 -79 -92 -78 -80
21 16 -47 -82 -92 -71 -92
189 16 -80 -49 -82 -92 -76
183 16 -82 -53 -80 -92 -75
177 16 -77 -56 -86 -92 -73
171 16 -76 -57 -92 -92 -71
165 16 -79 -60 -92 -92 -70
159 16 -81 -65 -92 -92 -69
153 16 -80 -70 -92 -92 -64
147 16 -78 -69 -92 -92 -61
141 16 -77 -67 -92 -92 -57
135 16 -81 -74 -92 -92 -62
129 16 -78 -72 -92 -92 -67
123 16 -79 -69 -92 -90 -61
117 16 -74 -74 -92 -86 -56
171.4 15 -78 -55 -86 -92 -68
110.7 120 -89 -92 -84 -79 -59
72.3 120 -85 -92 -88 -71 -74
46.7 120 -77 -92 -82 -54 -82
19 120 -63 -92 -83 -35 -83
178 120 -92 -80 -57 -86 -74
153 120 -92 -87 -68 -84 -72
128.6 120 -92 -92 -80 -83 -64
110.7 12 -73 -63 -92 -89 -65
224.5 1 -87 -48 -78 -92 -84
0 1 -53 -87 -92 -75 -92
213 118 -92 -68 -44 -84 -86
110.7 114 -89 -92 -83 -78 -61
72.3 114 -77 -92 -86 -70 -73
46.7 114 -73 -92 -85 -55 -79
178 114 -92 -77 -54 -87 -78
153 114 -92 -87 -68 -87 -75
128.6 114 -92 -92 -79 -85 -65
213 130 -92 -71 -41 -79 -92
12 130 -69 -92 -77 -44 -92
213 112 -92 -67 -41 -89 -86
12 112 -67 -92 -84 -37 -92
110.7 108 -88 -92 -79 -76 -61
72.3 108 -83 -92 -85 -69 -69
46.7 108 -74 -92 -82 -55 -81
178 108 -92 -78 -55 -86 -76
153 108 -92 -84 -72 -81 -74
128.6 108 -92 -92 -77 -81 -57
213 106 -92 -70 -39 -85 -79
12 106 -71 -92 -81 -41 -85
78 128.5 -88 -92 -67 -67 -71
147 128.5 -92 -92 -58 -73 -79
110.7 102 -85 -92 -80 -77 -52
72.3 102 -76 -92 -85 -61 -65
46.7 102 -70 -92 -84 -56 -74
178 102 -92 -75 -50 -85 -76
153 102 -92 -86 -70 -82 -73
128.6 102 -89 -89 -74 -81 -58
209 101 -92 -58 -49 -86 -84
213 100 -92 -61 -48 -73 -77
12 100 -67 -92 -81 -43 -80
178 99 -85 -78 -53 -78 -75
153 99 -88 -86 -67 -71 -70
128.6 99 -83 -92 -73 -66 -57
213 98 -92 -64 -43 -81 -78
111 98 -84 -86 -79 -70 -57
105 98 -85 -88 -75 -74 -56
99 98 -84 -88 -78 -69 -58
201 98 -89 -73 -40 -73 -76
93 98 -81 -92 -80 -65 -60
87 98 -80 -92 -75 -65 -59
81 98 -77 -92 -78 -64 -66
75 98 -77 -92 -81 -64 -66
69 98 -74 -92 -82 -62 -69
63 98 -75 -92 -77 -57 -75
57 98 -73 -92 -79 -57 -75
51 98 -72 -92 -79 -52 -76
45 98 -66 -92 -79 -50 -78
39 98 -71 -92 -78 -47 -79
195 98 -85 -74 -48 -71 -77
33 98 -66 -92 -78 -41 -78
27 98 -69 -92 -81 -40 -81
21 98 -60 -92 -77 -41 -83
15 98 -58 -92 -82 -43 -85
12 98 -60 -92 -83 -41 -83
189 98 -92 -74 -55 -79 -77
183 98 -89 -79 -51 -76 -70
177 98 -92 -77 -59 -76 -73
171 98 -89 -79 -62 -68 -72
165 98 -89 -79 -61 -66 -70
159 98 -89 -83 -65 -69 -70
207 98 -90 -71 -40 -75 -77
153 98 -90 -82 -68 -67 -67
